OpenJDK 64-Bit Server VM (25.342-b07) for windows-amd64 JRE (1.8.0_342-b07), built on Jul 21 2022 18:16:14 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 33393912k(19527928k free), swap 35491064k(15378820k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=33554432 -XX:+ManagementServer -XX:MaxHeapSize=33554432 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
77.223: [GC (Allocation Failure) 77.223: [DefNew: 9062K->354K(9792K), 0.0011888 secs] 24027K->15323K(31680K), 0.0012201 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.237: [GC (Allocation Failure) 77.237: [DefNew: 9058K->355K(9792K), 0.0014106 secs] 24027K->15431K(31680K), 0.0014458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.252: [GC (Allocation Failure) 77.252: [DefNew: 9059K->349K(9792K), 0.0011611 secs] 24135K->15429K(31680K), 0.0011953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.265: [GC (Allocation Failure) 77.265: [DefNew: 9053K->340K(9792K), 0.0014962 secs] 24133K->15421K(31680K), 0.0015391 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.280: [GC (Allocation Failure) 77.280: [DefNew: 9044K->365K(9792K), 0.0011821 secs] 24125K->15447K(31680K), 0.0012229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.295: [GC (Allocation Failure) 77.295: [DefNew: 9069K->261K(9792K), 0.0011941 secs] 24151K->15449K(31680K), 0.0012351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.309: [GC (Allocation Failure) 77.310: [DefNew: 8965K->258K(9792K), 0.0010430 secs] 24153K->15446K(31680K), 0.0010742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.323: [GC (Allocation Failure) 77.323: [DefNew: 8962K->256K(9792K), 0.0010268 secs] 24150K->15445K(31680K), 0.0010578 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
77.337: [GC (Allocation Failure) 77.337: [DefNew: 8960K->345K(9792K), 0.0011923 secs] 24149K->15536K(31680K), 0.0012282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.351: [GC (Allocation Failure) 77.351: [DefNew: 9049K->358K(9792K), 0.0011493 secs] 24240K->15548K(31680K), 0.0011813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.365: [GC (Allocation Failure) 77.365: [DefNew: 9062K->239K(9792K), 0.0010622 secs] 24252K->15535K(31680K), 0.0010935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.378: [GC (Allocation Failure) 77.379: [DefNew: 8943K->245K(9792K), 0.0010328 secs] 24239K->15542K(31680K), 0.0010650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.393: [GC (Allocation Failure) 77.393: [DefNew: 8949K->243K(9792K), 0.0009688 secs] 24246K->15540K(31680K), 0.0010000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.406: [GC (Allocation Failure) 77.406: [DefNew: 8947K->243K(9792K), 0.0010578 secs] 24244K->15541K(31680K), 0.0010918 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.420: [GC (Allocation Failure) 77.420: [DefNew: 8947K->248K(9792K), 0.0011807 secs] 24245K->15545K(31680K), 0.0012150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.434: [GC (Allocation Failure) 77.434: [DefNew: 8952K->245K(9792K), 0.0013280 secs] 24249K->15542K(31680K), 0.0013661 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.448: [GC (Allocation Failure) 77.448: [DefNew: 8949K->247K(9792K), 0.0010944 secs] 24246K->15648K(31680K), 0.0011314 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
77.462: [GC (Allocation Failure) 77.462: [DefNew: 8951K->246K(9792K), 0.0009802 secs] 24352K->15646K(31680K), 0.0010105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.475: [GC (Allocation Failure) 77.475: [DefNew: 8950K->254K(9792K), 0.0010443 secs] 24350K->15655K(31680K), 0.0010751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.489: [GC (Allocation Failure) 77.489: [DefNew: 8958K->231K(9792K), 0.0010187 secs] 24359K->15649K(31680K), 0.0010488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.502: [GC (Allocation Failure) 77.502: [DefNew: 8935K->229K(9792K), 0.0010159 secs] 24353K->15649K(31680K), 0.0010464 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.515: [GC (Allocation Failure) 77.515: [DefNew: 8933K->231K(9792K), 0.0010193 secs] 24353K->15651K(31680K), 0.0010503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.528: [GC (Allocation Failure) 77.528: [DefNew: 8935K->238K(9792K), 0.0010897 secs] 24355K->15659K(31680K), 0.0011197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.542: [GC (Allocation Failure) 77.542: [DefNew: 8934K->249K(9792K), 0.0014586 secs] 24355K->15757K(31680K), 0.0015010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.556: [GC (Allocation Failure) 77.556: [DefNew: 8953K->263K(9792K), 0.0010589 secs] 24461K->15771K(31680K), 0.0010916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.570: [GC (Allocation Failure) 77.570: [DefNew: 8967K->262K(9792K), 0.0010334 secs] 24475K->15770K(31680K), 0.0010677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.583: [GC (Allocation Failure) 77.583: [DefNew: 8966K->265K(9792K), 0.0010640 secs] 24474K->15773K(31680K), 0.0010995 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.597: [GC (Allocation Failure) 77.597: [DefNew: 8969K->268K(9792K), 0.0010803 secs] 24477K->15776K(31680K), 0.0011140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.615: [GC (Allocation Failure) 77.615: [DefNew: 8972K->268K(9792K), 0.0010606 secs] 24480K->15776K(31680K), 0.0010929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.630: [GC (Allocation Failure) 77.630: [DefNew: 8972K->270K(9792K), 0.0014193 secs] 24480K->15778K(31680K), 0.0014635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.645: [GC (Allocation Failure) 77.645: [DefNew: 8974K->270K(9792K), 0.0010571 secs] 24482K->15778K(31680K), 0.0010905 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.659: [GC (Allocation Failure) 77.659: [DefNew: 8974K->165K(9792K), 0.0011707 secs] 24482K->15777K(31680K), 0.0012052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.682: [GC (Allocation Failure) 77.682: [DefNew: 8869K->161K(9792K), 0.0013435 secs] 24481K->15773K(31680K), 0.0013927 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
77.699: [GC (Allocation Failure) 77.699: [DefNew: 8865K->159K(9792K), 0.0016451 secs] 24477K->15771K(31680K), 0.0017026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.715: [GC (Allocation Failure) 77.715: [DefNew: 8863K->161K(9792K), 0.0013042 secs] 24475K->15773K(31680K), 0.0013436 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.730: [GC (Allocation Failure) 77.730: [DefNew: 8865K->162K(9792K), 0.0012989 secs] 24477K->15774K(31680K), 0.0013445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.747: [GC (Allocation Failure) 77.747: [DefNew: 8866K->161K(9792K), 0.0013475 secs] 24478K->15773K(31680K), 0.0013944 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.762: [GC (Allocation Failure) 77.762: [DefNew: 8865K->165K(9792K), 0.0010913 secs] 24477K->15776K(31680K), 0.0011267 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.777: [GC (Allocation Failure) 77.777: [DefNew: 8869K->60K(9792K), 0.0011223 secs] 24480K->15776K(31680K), 0.0011534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.791: [GC (Allocation Failure) 77.791: [DefNew: 8764K->46K(9792K), 0.0010242 secs] 24480K->15780K(31680K), 0.0010581 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
77.804: [GC (Allocation Failure) 77.804: [DefNew: 8750K->40K(9792K), 0.0010004 secs] 24484K->15775K(31680K), 0.0010325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.819: [GC (Allocation Failure) 77.819: [DefNew: 8744K->39K(9792K), 0.0009971 secs] 24479K->15774K(31680K), 0.0010346 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.832: [GC (Allocation Failure) 77.832: [DefNew: 8743K->36K(9792K), 0.0009860 secs] 24478K->15772K(31680K), 0.0010172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.845: [GC (Allocation Failure) 77.845: [DefNew: 8740K->38K(9792K), 0.0009956 secs] 24476K->15774K(31680K), 0.0010264 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
